"Country","Subject Descriptor","Units","Scale","Country/Series-specific Notes","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Estimates Start After"
"Afghanistan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","20.057","18.02","18.883","18.336","18.876","20.136","14.278","14.501","17.248","n/a","n/a","2024"
"Albania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.525","12.003","13.209","15.337","15.582","15.271","18.086","19.185","23.388","27.259","28.372","2022"
"Algeria","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","187.494","180.764","190.004","194.507","193.361","164.774","185.85","225.709","247.789","264.913","268.885","2023"
"Andorra","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.789","2.895","2.993","3.217","3.155","2.885","3.325","3.376","3.786","4.038","4.035","2024"
"Angola","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","131.661","114.764","139.835","114.189","94.671","66.521","84.375","142.442","109.764","115.946","113.343","2023"
"Antigua and Barbuda","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.437","1.49","1.535","1.662","1.726","1.412","1.602","1.867","2.006","2.225","2.373","2022"
"Argentina","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","642.464","556.774","643.861","524.431","446.762","385.218","486.04","632.318","645.511","632.145","683.533","2024"
"Armenia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","10.553","10.546","11.527","12.458","13.619","12.642","13.879","19.514","24.086","25.533","26.258","2022"
"Aruba","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.963","2.984","3.092","3.276","3.341","2.486","2.929","3.279","3.649","3.952","4.1","2023"
"Australia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,233.921","1,262.655","1,381.110","1,417.162","1,386.277","1,362.613","1,655.843","1,725.461","1,742.461","1,796.805","1,771.681","2024"
"Austria","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","379.584","393.579","414.78","452.787","443.033","434.05","480.786","472.339","512.509","521.269","534.301","2024"
"Azerbaijan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","52.997","37.83","41.375","47.113","48.174","42.693","54.825","78.807","72.428","74.316","78.87","2024"
"The Bahamas","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.672","11.745","12.237","12.616","13.016","9.958","11.369","13.136","14.338","14.761","15.178","2023"
"Bahrain","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","32.523","33.885","37.205","39.568","40.447","35.838","40.84","46.458","46.192","46.943","47.829","2023"
"Bangladesh","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","233.687","265.236","293.755","321.379","351.238","373.902","416.265","460.201","451.534","451.096","467.218","2024"
"Barbados","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","5.288","5.331","5.517","5.63","5.788","5.168","5.275","6.257","6.721","7.167","7.552","2023"
"Belarus","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","56.329","47.703","54.723","60.011","64.414","61.312","68.207","73.735","71.792","71.18","71.561","2023"
"Belgium","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","461.091","474.141","500.733","542.885","536.787","529.269","598.892","593.906","644.968","664.965","684.864","2024"
"Belize","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.193","2.24","2.266","2.293","2.388","2.043","2.421","2.847","3.067","3.427","3.611","2023"
"Benin","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.389","11.818","12.697","14.257","14.392","15.674","17.699","17.439","19.679","21.249","22.236","2023"
"Bhutan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.159","2.252","2.462","2.651","2.618","2.586","2.623","2.869","2.923","3.092","3.422","2023"
"Bolivia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","33.241","34.189","37.782","40.581","41.193","36.897","40.701","44.329","45.464","48.404","56.339","2023"
"Bosnia and Herzegovina","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","16.404","17.117","18.326","20.484","20.483","20.226","23.673","24.535","27.592","28.795","28.807","2023"
"Botswana","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","13.531","15.083","16.105","17.032","16.696","14.93","18.75","20.321","19.411","19.356","19.4","2023"
"Brazil","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,800.046","1,796.622","2,063.519","1,916.934","1,873.286","1,476.092","1,670.650","1,951.849","2,191.137","2,171.337","2,125.958","2024"
"Brunei Darussalam","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","12.93","11.4","12.128","13.567","13.469","12.006","14.006","16.682","15.095","15.463","16.007","2024"
"Bulgaria","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","50.766","53.929","59.288","66.318","68.639","70.658","84.477","90.719","102.434","112.232","117.007","2024"
"Burkina Faso","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.833","12.829","14.094","15.916","16.092","17.837","19.747","19.588","21.181","23.975","27.056","2023"
